ICN,Corporation,Incorporation Date,Status,Status Date,Size,ABN,State,Post Code,Locality,Industry,ACNC Registered?,Numbe of Members,Numbe of Directors,Number of Directors with the Title 'Mr',Number of Directors with the Title 'Miss' or 'Mrs' or 'Ms',Number of Directors with no Sex-Identifying Title,Total Income 2019/20,Total Assets 2019/20,Number of Employees 2019/20,Total Income 2020/21,Total Assets 2020/21,Number of Employees 2020/21,Total Income 2021/22,Total Assets 2021/22,Number of Employees 2021/22,URL,,,,,,,,,,,,,
61,Korrawinga Aboriginal Corporation,03/03/1980,Registered,3/03/1980,Medium,24316357421,QLD,4655,DUNDOWRAN,Communication services; Education and training; Housing and tenancy; Manufacturing; Municipal services; Other,Y,185,5,3,2,0,$100K - $5m,> $2.5m, 1-4,$100K - $5m,> $2.5m, 1-4,$100K - $5m,> $2.5m, 1-4,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=61,,,,,,,,,,,,,
62,Nambucca Sobriety Aboriginal Corporation,12/05/1980,Deregistered,4/12/2001,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=62,,,,,,,,,,,,,
63,Buyinbin Aboriginal Corporation,23/07/1980,Registered,23/07/1980,Medium,94177606328,NSW,2470,CASINO,Housing and tenancy,Y,109,7,5,2,0,$100K - $5m,> $2.5m, 1-4,$100K - $5m,> $2.5m, 1-4,$100K - $5m,> $2.5m, 1-4,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=63,,,,,,,,,,,,,
64,Family Resettlement Aboriginal Corporation,28/04/1980,Deregistered,15/08/1995,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=64,,,,,,,,,,,,,
65,Burran Aboriginal Corporation,17/10/1980,Deregistered,23/10/1998,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=65,,,,,,,,,,,,,
66,Allalgara/Annangara Aboriginal Corporation,18/06/1980,Registered,18/06/1980,Small,,NT,0871,ALICE SPRINGS,Land and waters management?care for Country; Other,,38,12,8,4,0,,,,,,,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=66,,,,,,,,,,,,,
67,Central Australian Aboriginal Media Association (Aboriginal Corporation),12/05/1980,Registered,12/05/1980,Medium,32603325704,NT,0870,ALICE SPRINGS,Arts; Communication services; Heritage and culture; Other,Y,190,4,0,1,0,$100K - $5m,> $2.5m, 5-24,$100K - $5m,> $2.5m, 5-24,$100K - $5m,> $2.5m, 5-24,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=67,,,,,,,,,,,,,
68,Tiwi Ngaripuluwamigi Aboriginal Corporation,25/06/1980,Deregistered,29/11/1999,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=68,,,,,,,,,,,,,
69,Walhallow Aboriginal Corporation,28/04/1980,Registered,28/04/1980,Large,16209174798,NSW,2343,CAROONA,Community services; Construction; Health care and health promotion; Municipal services; Other,Y,111,5,2,3,0,$100K - $5m,$100K - $2.5m,0,$100K - $5m,$100K - $2.5m,0,> $5m,$100K - $2.5m,> 24,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=69,,,,,,,,,,,,,
70,Weimija Aboriginal Corporation,28/05/1980,Deregistered,6/06/2008,Medium,14931373631,NSW,2880,BROKEN HILL,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=70,,,,,,,,,,,,,
71,Umbakumba Outstation Aboriginal Corporation,02/06/1980,Deregistered,26/09/1995,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=71,,,,,,,,,,,,,
72,Koongie Elvira Aboriginal Corporation,02/06/1980,Registered,2/06/1980,Small,11068446688,WA,6770,HALLS CREEK,"Agriculture, aquaculture, forestry, fishing; Other",Y,42,4,1,3,0,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=72,,,,,,,,,,,,,
73,Trefoil Island Aboriginal Corporation,05/06/1980,Deregistered,16/08/2001,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=73,,,,,,,,,,,,,
74,Birrelee Multi-Functional Aboriginal Childrens Service Aboriginal Corporation,16/07/1980,Registered,16/07/1980,Medium,63015991144,NSW,2340,WEST TAMWORTH,Education and training,,20,7,3,4,0,$100K - $5m,$100K - $2.5m, 5-24,$100K - $5m,$100K - $2.5m, 5-24,$100K - $5m,$100K - $2.5m, 5-24,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=74,,,,,,,,,,,,,
75,Wayee Radio and Cultural Aboriginal Corporation,11/08/1980,Deregistered,26/09/1995,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=75,,,,,,,,,,,,,
76,Malabugilmah Aboriginal Corporation,16/07/1980,Deregistered,8/03/2023,Small,72074871591,NSW,2460,MALABUGILMAH,Housing and tenancy,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=76,,,,,,,,,,,,,
77,Theodore Aboriginal Corporation,13/07/1980,Deregistered,7/09/2005,Not Sized,15726431836,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=77,,,,,,,,,,,,,
78,North-West Aboriginal and Torres Strait Islanders Corporation for Sport,14/10/1980,Deregistered,26/09/1995,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=78,,,,,,,,,,,,,
80,Kundat Djaru Aboriginal Corporation,04/08/1980,Registered,4/08/1980,Small,60465426980,WA,6770,HALLS CREEK,Community services; Education and training; Employment; Health care and health promotion; Municipal services; Wholesale and retail trade (shops),Y,77,9,4,2,0,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=80,,,,,,,,,,,,,
81,Black Pearl Aboriginal Corporation,04/08/1980,Deregistered,29/11/1983,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=81,,,,,,,,,,,,,
82,Thoothoo Wandi Club Aboriginal Corporation,23/09/1980,Deregistered,24/10/2009,Small,20217264017,WA,6168,ROCKINGHAM,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=82,,,,,,,,,,,,,
83,North Queensland Aboriginal and Torres Strait Islanders Corporation for Sport,24/11/1980,Deregistered,26/09/1995,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=83,,,,,,,,,,,,,
84,Ferdy's Haven Alcohol Rehabilitation Aboriginal Corporation,23/09/1980,Registered,23/09/1980,Small,96814007936,QLD,4816,PALM ISLAND,Community services; Health care and health promotion; Other,,27,4,1,3,0,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=84,,,,,,,,,,,,,
85,Woolah Aboriginal Corporation,27/10/1980,Registered,27/10/1980,Small,70207504076,WA,6743,Kununurra,Municipal services; Other,Y,27,6,3,3,0,$100K - $5m,> $2.5m, 1-4,$100K - $5m,> $2.5m,0,< $100K,> $2.5m,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=85,,,,,,,,,,,,,
86,Boggabilla Aboriginal Corporation,26/09/1980,Deregistered,10/02/2003,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=86,,,,,,,,,,,,,
87,Sports Aboriginal Corporation of Tasmania,17/11/1980,Deregistered,6/06/2008,Medium,,TAS,7000,HOBART,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=87,,,,,,,,,,,,,
88,Marlu Warriors Touch Football Club (Aboriginal Corporation),07/10/1980,Deregistered,29/11/1983,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=88,,,,,,,,,,,,,
89,Stanley Village Aboriginal Corporation,14/10/1980,Deregistered,11/04/2003,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=89,,,,,,,,,,,,,
